APP,url,classification,commit id,LLM,LLM_Deployment Environments,vectordb,VectorDB_Deployment Environments,langchain,language
marella/chatdocs,https://github.com/marella/chatdocs,context-based QA,ff0f962972ba65f0bccbf2e81875a95bae7473b5,GPTQ models,local,chroma,local,1,python
(fork)ranfysvalle02/chatdocs-mdb,https://github.com/ranfysvalle02/chatdocs-mdb,context-based QA,6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,llama,local,mongo,local,1,python
(fork)Vidminas/chatdocs-streamlit,https://github.com/Vidminas/chatdocs-streamlit,context-based QA,cf4053a1b20116fb0d05e64778e3c4c28b902f2a,openai,online,chroma,local,1,python
Haste171/langchain-chatbot,https://github.com/Haste171/langchain-chatbot,context-based QA,f3999530d57eb8069d8b911024785d82ac5d003d,OpenAI,Online,pinecone,Online,1,python
iMagist486/ElasticSearch-Langchain-Chatglm2,https://github.com/iMagist486/ElasticSearch-Langchain-Chatglm2,context-based QA,304d3d204a00782a0078fd76be232fa5802f4307,chatglm2-6b,local,Elasticsearch,local,1,python
mayooear/gpt4-pdf-chatbot-langchain,https://github.com/mayooear/gpt4-pdf-chatbot-langchain,context-based QA,66d183f6b207fa1d92153a430c620c58b01e9b1c,OpenAI,Online,pinecone,Online,1,TypeScript
(fork)davideuler/gpt4-pdf-chatbot-langchain-chromadb,https://github.com/davideuler/gpt4-pdf-chatbot-langchain-chromadb,context-based QA,5c0f8daba056483afebf9e8a46a988e07c58ee99,OpenAI,Online, Chroma,local,1,TypeScript
(fork)groovybits/gaib,https://github.com/groovybits/gaib,context-based QA,887e8edf7f6ce112af4790ac5f45c629b05e3225,OpenAI,Online, Chroma,local,1,TypeScript
(fork)sagarsaija/gpt4-pdf-chatbot-langchain-chroma,https://github.com/sagarsaija/gpt4-pdf-chatbot-langchain-chroma,context-based QA,259d5cb6510b0c06b93389810671d73482f9a37c,OpenAI,Online, Chroma,local,1,TypeScript
(fork)oshoura/IslamAI,https://github.com/oshoura/IslamAI,context-based QA,d39fad996040c1fe7917b330996620380b9028af,OpenAI,Online, Chroma,local,1,TypeScript
